problem_id,title,first_done_date,error_type,root_cause,fix_keypoint,next_review_1d,next_review_3d,next_review_7d,review_1d_result,review_3d_result,review_7d_result,final_status,notes
,,,idea/boundary/implementation/complexity,,,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,,,,,
,,,idea/boundary/implementation/complexity,,,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,,,,,
,,,idea/boundary/implementation/complexity,,,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,,,,,
,,,idea/boundary/implementation/complexity,,,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,,,,,
,,,idea/boundary/implementation/complexity,,,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,,,,,
,,,idea/boundary/implementation/complexity,,,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,,,,,
,,,idea/boundary/implementation/complexity,,,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,,,,,
,,,idea/boundary/implementation/complexity,,,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,,,,,
,,,idea/boundary/implementation/complexity,,,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,,,,,
,,,idea/boundary/implementation/complexity,,,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,,,,,
